Article ID,Comments,Label(s),Link to Article,Type
15780,"after customer make payment, the system will immediately send out message saying that ""Thank you for your purchase, we will ship it as soon as possibl",['Unknown'],https://seller.shopee.sg/edu/article/15780/automatic-replies-shopee-seller-chat,article
71,The information did not tell us on how we can select our preferred 3PL partners.,['Negative Complaint'],https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=webar,article
22213,Useless implementation. Its going to create more unnecessary issues for logistics. The person who pushed this implementation should reconsider his job,"['Negative Complaint', 'Constructive Criticism']",https://seller.shopee.sg/edu/article/22213,article
6823,Saturday DTS should not be a working day,['Negative Complaint'],https://seller.shopee.sg/edu/article/6823,article
20218,How can uparcel seller get fast hand over rate when order placed before 2pm must be scanned in 2359 on the same day as uparcel can't do that ,['Unknown'],https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
7039,What about frozen products such as seafood and ice-cream?,['Unknown'],https://seller.shopee.sg/edu/article/7039,article
21808,To adjustment  the commission fee the seller lost  profit margin and these is no benefit for the seller.,['Negative Complaint'],https://seller.shopee.sg/edu/article/21808,article
21808,"I dont understands what does it means by ""Sellers will be able to offer free shipping benefits to buyers at no cost from 5 Sep 2024 onwards.""",['Unknown'],https://seller.shopee.sg/edu/article/21808?utm_medium=notification&utm_source=apppn&__source__=push_notification,article
14005,better to have a function that allows seller to MASS DELETE or MASS DELIST ,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/14005/how-to-delete-a-listing-,article
21808,"Commission Fee had increased so much that causes seller to earn less, who will bear for our packaging tools for it where things keep increasing!",['Negative Complaint'],https://seller.shopee.sg/edu/article/21808,article
14216,not much details,['Neutral'],https://seller.shopee.sg/edu/article/14216/how-to-sell-from-overseas-,article
19403,"Utterly rubbish guidelines, if other 3PL can do a better job, you seriously need to reconsider how your delivery team handles items. Ridiculous.",['Negative Complaint'],https://seller.shopee.sg/edu/article/19403/order-packaging,article
43,shopee express do not come to pickup how to do,['Unknown'],https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
8495,No link to request compensation. Make more fault for seller to claim from logistics.,['Negative Complaint'],https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article
9625,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
16368,"I dont have the ""Add Images"" option on my Product Description Tab",['Unknown'],https://seller.shopee.sg/edu/article/16368/image-product-description,article
19522,Theres no appeal button where it supposed to be,['Design Feedback'],https://seller.shopee.sg/edu/article/19522,article
6848,Separate buyer and seller chat. I am penalised because of seller auto sending me messages which I dont reply because I am a seller as well.,"['Constructive Criticism', 'Design Feedback']",https://seller.shopee.sg/edu/article/6848/use-shopee-seller-chat,article
7771,"Please note that some buyers only want to use for free our air coolers,  chillers and Freezers  for  free over 15 days. We cover warranty not use for ",['Neutral'],https://seller.shopee.sg/edu/article/7771,article
44,The estimate released date is way past over and I haven't received my payment.Please arrange ASAP ,['Negative Complaint'],https://seller.shopee.sg/edu/article/44/Shopees-income-withdrawal-process,article
19689,Shopee's very own dear courier SPX did NOT pick up item in time. What is Shopee expecting merchant to do?,['Negative Complaint'],https://seller.shopee.sg/edu/article/19689,article
20159,"Shopee should automatically refund when shopee accept COM , not ask seller to do additional work to submit this and that, this is shopee responsibity",['Constructive Criticism'],https://seller.shopee.sg/edu/article/20159/Change-of-Mind-Seller-Shipping-Fee-Subsidy,article
15157,I don't understand.,['Unknown'],https://seller.shopee.sg/edu/article/15157/When-to-dispute-return-refund,article
17220,troublesome when there is no NOA when shopee mis-plot listing ,['Negative Complaint'],https://seller.shopee.sg/edu/article/17220,article
11182,There is no explanation on how the CRR is calculated.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/11182/chat-response-rate-faqs,article
6823,This DTS 1 and DTS 2 policy is the worst policy ever. it is super stressful and confusing for both customers and sellers.,['Negative Complaint'],https://seller.shopee.sg/edu/article/6823,article
12279,The product video does not display play button despite following instruction,['Design Feedback'],https://seller.shopee.sg/edu/article/12279/product-videos,article
2503,my problem is not in your list. I unable to choose the date for pick up cos it prompt only 13-07-24 which we are closed on weekend,['Negative Complaint'],https://seller.shopee.sg/edu/article/2503/labelling-the-air-waybill,article
16165,Reasons for brand rejection was not specified. I applied three times but the reason was not specified as I keep tweaking my applications.,['Negative Complaint'],https://seller.shopee.sg/edu/article/16165/track-brand-registration-status-outcome,article
16664,how to dispute? can't find link or form,['Negative Complaint'],https://seller.shopee.sg/edu/article/16664/dispute-process-overview,article
11209,"Not found   Under the Adjustment tab on the My Balance page, select a transaction with ",['Design Feedback'],https://seller.shopee.sg/edu/article/11209,article
19403,PACKING ALL NEED MOENY ,['Negative Complaint'],https://seller.shopee.sg/edu/article/19403/order-packaging,article
14431,"This is not helpful if we wan to see all the our reviews we have done. Also, i did a reviews over 4 weeks. Yet it doesn't appear in the shop listing",['Design Feedback'],https://seller.shopee.sg/edu/article/14431/rate-buyers,article
19522,There is no appeal button to click for a wrong suggested category,['Design Feedback'],https://seller.shopee.sg/edu/article/19522,article
6285,It did not mentioned that if products under promotion not able to turn on vacation mode,['Design Feedback'],https://seller.shopee.sg/edu/article/6285/vacation-mode-faqs,article
15999,I cannot install the application. I want to check my order. What should I do?,['Negative Complaint'],https://seller.shopee.sg/edu/article/15999/contact-shopee-customer-service,article
11702,control your seller,['Design Feedback'],https://seller.shopee.sg/edu/article/11702/unfair-competition-policy,article
6836,"To support small entrepreneur, please give more greenlight and intensive. Shopee wanted to limit pre-order less than 5%, a lot of charges on sellee","['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/6836,article
801,How to change SSL ?,['Design Feedback'],https://seller.shopee.sg/edu/article/801,article
168,I want to appeal but cannot,['Negative Complaint'],https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
2282,not informative enough,['Negative Complaint'],https://seller.shopee.sg/edu/article/2282/mass-upload-template,article
6806,where is the link to start?,['Design Feedback'],https://seller.shopee.sg/edu/article/6806,article
2554,Pls email me at caitlinleeyq@gmail.com in regard to banning of certain products of mine. I bought my items from LEGO itself ,['Unknown'],https://seller.shopee.sg/edu/article/2554,article
9326,"I want to change my shipping chanel from j&t to spx
But there NO
Option for me to do so","['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/9326,article
15157,The webform is no longer available. ,['Negative Complaint'],https://seller.shopee.sg/edu/article/15157/When-to-dispute-return-refund,article
20156,"Don't force people to work just to satisfy your buyers, we're your partners, not your employees for God's sake",['Negative Complaint'],https://seller.shopee.sg/edu/article/20156/Saturday-as-a-regular-operating-day,article
11469,i cant find the option for full screen option in chat box corner,['Design Feedback'],https://seller.shopee.sg/edu/article/11469/navigate-shopee-seller-chat-pc,article
7315,cant find it at all,['Negative Complaint'],https://seller.shopee.sg/edu/article/7315/about-shop-categories,article
7088,outdated instruction with new crm setting,['Constructive Criticism'],https://seller.shopee.sg/edu/article/7088/about-chat-broadcast,article
10831,bad,['Negative Complaint'],https://seller.shopee.sg/edu/article/10831,article
8167,Article is too damn long.,['Negative Complaint'],https://seller.shopee.sg/edu/article/8167,article
10831,Difficulty ,['Unknown'],https://seller.shopee.sg/edu/article/10831,article
14291,Give actual contact numbers/persons that we can contact that can provide help within the day as this is a pick up issue.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/14291/delivery-dispatch-fails-pickup,article
20218,If the logistic shippers are ready to pick up all parcels then it will be easily for us sellers to commit the fast hand over period.,['Constructive Criticism'],https://seller.shopee.sg/edu/article/20218/Fast-Handover-Rate,article
15157,pls contact us 98160687,['Unknown'],https://seller.shopee.sg/edu/article/15157/When-to-dispute-return-refund,article
6806,I'm trying to find categories such as Food Supplement but there is no result in the page (https://seller.shopee.sg/edu/category-guide),"['Negative Complaint', 'Design Feedback']",https://seller.shopee.sg/edu/article/6806,article
20262,Extremely idiotic policy to kill your sellers.,['Negative Complaint'],https://seller.shopee.sg/edu/article/20262?fbclid=IwAR0HhDa5a_d9suGRavQEHCPHqL4t4S2tgXt2DiNV-0IuVCUYKOPaUUjC8xk,article
