Article ID,Feedback 1,Comments,Label(s),Link to Article,Type,feedbacks_per_article
21808,The lessons were too difficult.,"I dont understands what does it means by ""Sellers will be able to offer free shipping benefits to buyers at no cost from 5 Sep 2024 onwards.""",Unknown,https://seller.shopee.sg/edu/article/21808?utm_medium=notification&utm_source=apppn&__source__=push_notification,article,3
20671,I didn't find any useful information.,The response to form is not satisfactory ,Negative Complaint,https://seller.shopee.sg/edu/article/20671?utm_medium=notification&utm_source=appar&__dsrn__=1,article,2
20671,I didn't find any useful information.,"NDD is bad on us preferred sellers who do not work on Saturdays. Its a lose situation, no customers getting order = no profit for shopee and seller",Negative Complaint,https://seller.shopee.sg/edu/article/20671,article,2
19403,The lessons were too difficult.,PACKING ALL NEED MOENY ,Unknown,https://seller.shopee.sg/edu/article/19403/order-packaging,article,2
19403,The lessons were too difficult.,"Utterly rubbish guidelines, if other 3PL can do a better job, you seriously need to reconsider how your delivery team handles items. Ridiculous.",Negative Complaint,https://seller.shopee.sg/edu/article/19403/order-packaging,article,2
15373,I didn't find any useful information.,"article says ""Earnings from your sales will be credited to your Seller Balance within 2 to 7 working days  "" but now agent says upto 25 days",Constructive Criticism,https://seller.shopee.sg/edu/article/15373/withdrawing-your-income-faq,article,2
15373,I didn't find any useful information.,I cant add my bank account. I have tried so many times and still can't withdraw my money. Please help me withdraw my money and add my bank account.,Negative Complaint,https://seller.shopee.sg/edu/article/15373/withdrawing-your-income-faq,article,2
20016,I didn't find any useful information.,"Shopee should stop the NDD program, base on always no one pick up after arrangement, this will cause seller in trouble, and seller will penalty by sys",Negative Complaint,https://seller.shopee.sg/edu/article/20016,article,2
20016,I didn't find any useful information.,Shopee fail to pick up and cause delayed and put the fault to seller.,Negative Complaint,https://seller.shopee.sg/edu/article/20016,article,2
19522,I didn't find any useful information.,There is no appeal button to click for a wrong suggested category,Design Feedback,https://seller.shopee.sg/edu/article/19522,article,2
19522,There were broken links.,Theres no appeal button where it supposed to be,Design Feedback,https://seller.shopee.sg/edu/article/19522,article,2
6806,I didn't find any useful information.,I'm trying to find categories such as Food Supplement but there is no result in the page (https://seller.shopee.sg/edu/category-guide),Design Feedback,https://seller.shopee.sg/edu/article/6806,article,2
2554,I didn't find any useful information.,Pls email me at caitlinleeyq@gmail.com in regard to banning of certain products of mine. I bought my items from LEGO itself ,Negative Complaint,https://seller.shopee.sg/edu/article/2554,article,2
7039,I didn't find any useful information.,customer want to self pickup from our shop,Genuine Question,https://seller.shopee.sg/edu/article/7039,article,2
2554,I didn't find any useful information.,useless junk,Negative Complaint,https://seller.shopee.sg/edu/article/2554,article,2
6806,I didn't find any useful information.,where is the link to start?,Genuine Question,https://seller.shopee.sg/edu/article/6806,article,2
10831,The lessons were too difficult.|Images/gifs did not load.|There were broken links.|I didn't find any useful information.,Difficulty ,Unknown,https://seller.shopee.sg/edu/article/10831,article,2
7039,I didn't find any useful information.,What about frozen products such as seafood and ice-cream?,Genuine Question,https://seller.shopee.sg/edu/article/7039,article,2
8495,I didn't find any useful information.|Images/gifs did not load.,No link to request compensation. Make more fault for seller to claim from logistics.,Negative Complaint,https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article,2
8495,I didn't find any useful information.,对于损坏的产品我要如何联系到shoppee投诉,Negative Complaint,https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article,2
10831,I didn't find any useful information.,bad,Negative Complaint,https://seller.shopee.sg/edu/article/10831,article,2
339,I didn't find any useful information.,I want to know how to change shipping fees for 'seller own fleet'. But this page did not provide that.,Genuine Question,https://seller.shopee.sg/edu/courseDetail/339?lessonId=201,courseDetail,1
181,I didn't find any useful information.,"Shopee practised unfair act to different sellers, I have been reported twice same issue. Other sellers like ""searchme"" was never penalised on this",Negative Complaint,https://seller.shopee.sg/edu/article/181/listing-violations-types,article,1
168,I didn't find any useful information.,I want to appeal but cannot,Negative Complaint,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article,1
73,I didn't find any useful information.,I met all the requirements. But you all still remove.  Don't understand why. Why i ask your side what happen. No one able to give an answer ,Negative Complaint,https://seller.shopee.sg/edu/courseDetail/73?lessonId=4,courseDetail,1
64,I didn't find any useful information.,Laz welcome my listing online even though I have many penalty points.   Shopee shut seller away.  Good management.   Going to become like qoo10.,Negative Complaint,https://seller.shopee.sg/edu/courseDetail/64?lessonId=2483,courseDetail,1
71,I didn't find any useful information.,The information did not tell us on how we can select our preferred 3PL partners.,Design Feedback,https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=webar,article,1
43,I didn't find any useful information.,shopee express do not come to pickup how to do,Genuine Question,https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article,1
44,I didn't find any useful information.,The estimate released date is way past over and I haven't received my payment.Please arrange ASAP ,Negative Complaint,https://seller.shopee.sg/edu/article/44/Shopees-income-withdrawal-process,article,1
11702,I didn't find any useful information.,control your seller,Unknown,https://seller.shopee.sg/edu/article/11702/unfair-competition-policy,article,1
11695,I didn't find any useful information.,shoppee you should review your msg prompt. It says Please maintain respectful communication. User may report messages.  politely Iask bout the product,Constructive Criticism,https://seller.shopee.sg/edu/article/11695/chat-violations,article,1
11469,I didn't find any useful information.,i cant find the option for full screen option in chat box corner,Design Feedback,https://seller.shopee.sg/edu/article/11469/navigate-shopee-seller-chat-pc,article,1
11209,I didn't find any useful information.,"Not found   Under the Adjustment tab on the My Balance page, select a transaction with ",Unknown,https://seller.shopee.sg/edu/article/11209,article,1
11182,I didn't find any useful information.,There is no explanation on how the CRR is calculated.,Constructive Criticism,https://seller.shopee.sg/edu/article/11182/chat-response-rate-faqs,article,1
10047,I didn't find any useful information.,dont have that button,Unknown,https://seller.shopee.sg/edu/article/10047,article,1
9326,I didn't find any useful information.,I want to change my shipping chanel from j&t to spxBut there NOOption for me to do so,Negative Complaint,https://seller.shopee.sg/edu/article/9326,article,1
6836,I didn't find any useful information.,"To support small entrepreneur, please give more greenlight and intensive. Shopee wanted to limit pre-order less than 5%, a lot of charges on sellee",Constructive Criticism,https://seller.shopee.sg/edu/article/6836,article,1
6867,I didn't find any useful information.|The lessons were too difficult.,try to do discount. yet totally different. cancel all discount. ,Constructive Criticism,https://seller.shopee.sg/edu/article/6867,article,1
7077,I didn't find any useful information.,i want to ban all voucher ,Negative Complaint,https://seller.shopee.sg/edu/article/7077/about-voucher-campaign,article,1
7083,There were broken links.,"signup button for cashback is missing from campaign page, even when cleared cache",Design Feedback,https://seller.shopee.sg/edu/article/7083/about-coins-cashback-programme,article,1
7088,I didn't find any useful information.,outdated instruction with new crm setting,Design Feedback,https://seller.shopee.sg/edu/article/7088/about-chat-broadcast,article,1
7315,I didn't find any useful information.,cant find it at all,Design Feedback,https://seller.shopee.sg/edu/article/7315/about-shop-categories,article,1
7771,I didn't find any useful information.,"Please note that some buyers only want to use for free our air coolers,  chillers and Freezers  for  free over 15 days. We cover warranty not use for ",Unknown,https://seller.shopee.sg/edu/article/7771,article,1
7775,There were broken links.,Hi We don't have a local base in Singapore. Would you please provide the information about how to sell on Shopee? Our brand: vivantwine.com.tw,Genuine Question,https://seller.shopee.sg/edu/article/7775,article,1
8167,The lessons were too difficult.,Article is too damn long.,Negative Complaint,https://seller.shopee.sg/edu/article/8167,article,1
6848,I didn't find any useful information.,Separate buyer and seller chat. I am penalised because of seller auto sending me messages which I dont reply because I am a seller as well.,Constructive Criticism,https://seller.shopee.sg/edu/article/6848/use-shopee-seller-chat,article,1
6850,I didn't find any useful information.,Our sub account dont have message suggestion pop up after creating shortcuts ,Design Feedback,https://seller.shopee.sg/edu/article/6850/about-chat-assistant,article,1
6838,I didn't find any useful information.,Arrange same day drop off is difficult for seller might packing the order wrongly in order to ship out fast. Nearby dont have drop off point.,Constructive Criticism,https://seller.shopee.sg/edu/article/6838/about-mass-processing-orders,article,1
136,I didn't find any useful information.,Even though we follow step by step. No sales remain No sales,"Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/courseDetail/136?lessonId=324,courseDetail,1
131,I didn't find any useful information.,It does not cover how to ship out perishable goods.,Constructive Criticism,https://seller.shopee.sg/edu/courseDetail/131?lessonId=1923,courseDetail,1
711,I didn't find any useful information.,"hi. i cannot make withdraw because when i click on ""my balance"" in my income this error code pops up 241802000. can you please check?",Negative Complaint,https://seller.shopee.sg/edu/article/711/Adding-your-bank-account-for-withdrawal-,article,1
801,I didn't find any useful information.,How to change SSL ?,Genuine Question,https://seller.shopee.sg/edu/article/801,article,1
739,I didn't find any useful information.,you can just add links application/shop requirement/hardware requirement all together,Constructive Criticism,https://seller.shopee.sg/edu/article/739,article,1
2548,I didn't find any useful information.,Did not state need to wait how long before a promotion can be set after price increase.,Constructive Criticism,https://seller.shopee.sg/edu/article/2548/,article,1
2503,I didn't find any useful information.,my problem is not in your list. I unable to choose the date for pick up cos it prompt only 13-07-24 which we are closed on weekend,Negative Complaint,https://seller.shopee.sg/edu/article/2503/labelling-the-air-waybill,article,1
2282,I didn't find any useful information.,not informative enough,Design Feedback,https://seller.shopee.sg/edu/article/2282/mass-upload-template,article,1
1104,I didn't find any useful information.,there's wasnt any pricing for Ninja van ,Negative Complaint,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article,1
924,I didn't find any useful information.,"You did not solve my query, this is just a small envelope but I need to pay a postage fee of $0.52, this was not mentioned when I purchased the vouche",Negative Complaint,https://seller.shopee.sg/edu/article/924/dispute-shipping-fee-overcharged?csFillToken=841b44f6-4464-4f8d-b1d5-d85697cfca92,article,1
2760,I didn't find any useful information.,pls remove JNT from my shop! thank you ,Negative Complaint,https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article,1
6285,I didn't find any useful information.,It did not mentioned that if products under promotion not able to turn on vacation mode,Constructive Criticism,https://seller.shopee.sg/edu/article/6285/vacation-mode-faqs,article,1
6822,I didn't find any useful information.,"Didn't mention about the problem which happened a few times. ""Sorry, no valid pickup days now. Please contact Shopee Customer Service for more help.",Constructive Criticism,https://seller.shopee.sg/edu/article/6822,article,1
18817,The lessons were too difficult.|There were broken links.|I didn't find any useful information.,PLS CONTACT US 98160687,Unknown,https://seller.shopee.sg/edu/article/18817/store-pick-up,article,1
17318,The lessons were too difficult.|I didn't find any useful information.,Too complicating,Negative Complaint,https://seller.shopee.sg/edu/article/17318/product-images-3-4-ratio,article,1
17237,I didn't find any useful information.,Is there other guidelines for frozen products?,Genuine Question,https://seller.shopee.sg/edu/article/17237,article,1
16478,The lessons were too difficult.,Little confusing ,Negative Complaint,https://seller.shopee.sg/edu/article/16478/seller-fees-calculation,article,1
16664,I didn't find any useful information.,how to dispute? can't find link or form,Genuine Question,https://seller.shopee.sg/edu/article/16664/dispute-process-overview,article,1
16064,The lessons were too difficult.,HOW DO i know from where should I COLLECT the goods orderedand whether it has arrived?,Genuine Question,https://seller.shopee.sg/edu/article/16064/SPX-self-collection-channel,article,1
16165,I didn't find any useful information.,Reasons for brand rejection was not specified. I applied three times but the reason was not specified as I keep tweaking my applications.,Constructive Criticism,https://seller.shopee.sg/edu/article/16165/track-brand-registration-status-outcome,article,1
16368,I didn't find any useful information.,"I dont have the ""Add Images"" option on my Product Description Tab",Design Feedback,https://seller.shopee.sg/edu/article/16368/image-product-description,article,1
15780,I didn't find any useful information.,"after customer make payment, the system will immediately send out message saying that ""Thank you for your purchase, we will ship it as soon as possibl",Positive Comment,https://seller.shopee.sg/edu/article/15780/automatic-replies-shopee-seller-chat,article,1
15737,I didn't find any useful information.,"im looking for ""How to appeal"", not explanation.",Genuine Question,https://seller.shopee.sg/edu/article/15737/appeal-listing-limit,article,1
15549,The lessons were too difficult.,Totally don't understand the part on Obtaining links for images (evidence) uploaded to your Google Drive! Kindly make it more user friendly!,Constructive Criticism,https://seller.shopee.sg/edu/article/15549,article,1
15999,I didn't find any useful information.,I cannot install the application. I want to check my order. What should I do?,Genuine Question,https://seller.shopee.sg/edu/article/15999/contact-shopee-customer-service,article,1
15140,I didn't find any useful information.,BULLSHIT. A BOOK WAS SO OBVIOUSLY PHOTOCOPIED. ANY IDIOT KNOWS THIS IS ILLEGAL. YET YOU NEED PROOF OF COPYRIGHT WHICH BUYERS WON'T HAVE!?,Negative Complaint,https://seller.shopee.sg/edu/article/15140/brand-ip-portal?csFillToken=eeb3675e-d2da-4f4e-a9e2-6f7a0dff5e13,article,1
14467,I didn't find any useful information.,I need to find the link on PC since im a Malaysia seller and having Shopee SG on my phone is legally not possible,Genuine Question,https://seller.shopee.sg/edu/article/14467,article,1
14431,I didn't find any useful information.,"This is not helpful if we wan to see all the our reviews we have done. Also, i did a reviews over 4 weeks. Yet it doesn't appear in the shop listing",Constructive Criticism,https://seller.shopee.sg/edu/article/14431/rate-buyers,article,1
15342,I didn't find any useful information.,"for a costumed product , a small price is only a payment unit, buyers may pay a few unit . so the shoppe is just going lazada management mode. ",Constructive Criticism,https://seller.shopee.sg/edu/article/15342/cannot-list-products,article,1
14005,I didn't find any useful information.,better to have a function that allows seller to MASS DELETE or MASS DELIST ,Constructive Criticism,https://seller.shopee.sg/edu/article/14005/how-to-delete-a-listing-,article,1
13107,The lessons were too difficult.|I didn't find any useful information.,need more detailed example,Constructive Criticism,https://seller.shopee.sg/edu/article/13107/seller-fees,article,1
12348,I didn't find any useful information.,i need a link to raise dispute as I am cross border seller which received my returned parcel after many days,Genuine Question,https://seller.shopee.sg/edu/article/12348/return-refund-dispute-,article,1
12279,There were broken links.,The product video does not display play button despite following instruction,Design Feedback,https://seller.shopee.sg/edu/article/12279/product-videos,article,1
14007,I didn't find any useful information.,how do i remove cc installment from my payment method,Genuine Question,https://seller.shopee.sg/edu/article/14007/instalment-payment-method-,article,1
14170,The lessons were too difficult.|I didn't find any useful information.,It’s just too complicating,Negative Complaint,https://seller.shopee.sg/edu/article/14170/edit-and-delist-listings-,article,1
14216,I didn't find any useful information.,not much details,Unknown,https://seller.shopee.sg/edu/article/14216/how-to-sell-from-overseas-,article,1
14291,I didn't find any useful information.,Give actual contact numbers/persons that we can contact that can provide help within the day as this is a pick up issue.,Constructive Criticism,https://seller.shopee.sg/edu/article/14291/delivery-dispatch-fails-pickup,article,1
20156,I didn't find any useful information.,"Don't force people to work just to satisfy your buyers, we're your partners, not your employees for God's sake",Negative Complaint,https://seller.shopee.sg/edu/article/20156/Saturday-as-a-regular-operating-day,article,1
20159,The lessons were too difficult.,"Shopee should automatically refund when shopee accept COM , not ask seller to do additional work to submit this and that, this is shopee responsibity",Constructive Criticism,https://seller.shopee.sg/edu/article/20159/Change-of-Mind-Seller-Shipping-Fee-Subsidy,article,1
20262,I didn't find any useful information.,Extremely idiotic policy to kill your sellers.,Negative Complaint,https://seller.shopee.sg/edu/article/20262?fbclid=IwAR0HhDa5a_d9suGRavQEHCPHqL4t4S2tgXt2DiNV-0IuVCUYKOPaUUjC8xk,article,1
20335,I didn't find any useful information.,The information did not inform on where we are still getting 57% chat response rate despite have reply promptly to customer.,Constructive Criticism,https://seller.shopee.sg/edu/article/20335/improve-chat-response-rate,article,1
20787,I didn't find any useful information.,System shd send the alert to respective logistic team lead instead of let sellers fill up the form as  often fill up few times also no action fr team!,Constructive Criticism,https://seller.shopee.sg/edu/article/20787?utm_medium=notification&utm_source=appar&__dsrn__=1,article,1
23634,I didn't find any useful information.,"The team should think along the purchase amount & not by product category for benefit to everyone, be it Shopee, Seller & customer. Thabk you ",Constructive Criticism,https://seller.shopee.sg/edu/article/23634?utm_medium=notification&utm_source=appar&__dsrn__=1,article,1
23794,I didn't find any useful information.,"Our operation hous is less than 8 hours, how to complete",Genuine Question,https://seller.shopee.sg/edu/article/23794,article,1
23876,I didn't find any useful information.,We do not have video posting,Negative Complaint,https://seller.shopee.sg/edu/article/23876/Shopee-Video-Auto-Sync-,article,1
